<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MVY,20180330,3.20,3.20,3.20,3.20,200
MVY,20180321,3.50,3.60,3.50,3.60,5900
MVY,20180314,3.20,3.20,3.20,3.20,100
MVY,20180313,3.50,3.70,3.50,3.70,2400
MVY,20180312,3.30,3.30,3.30,3.30,100
MVY,20180309,3.70,3.70,3.70,3.70,100
MVY,20180308,4.00,4.50,4.00,4.50,1700
MVY,20180307,4.00,4.00,4.00,4.00,4400
MVY,20180306,3.80,3.80,3.80,3.80,600
MVY,20180302,3.50,3.50,3.50,3.50,6300
MVY,20180301,3.30,3.30,3.30,3.30,7000
MVY,20180228,3.50,3.50,3.50,3.50,1500
MVY,20171222,5.30,5.40,5.30,5.40,1300
MVY,20171221,5.40,5.40,5.40,5.40,400
MVY,20171215,5.40,5.40,5.40,5.40,1300
MVY,20171206,5.80,5.80,5.80,5.80,1200
MVY,20171129,6.00,6.00,6.00,6.00,3300
MVY,20171002,10.00,10.00,10.00,10.00,800
MVY,20170912,10.00,10.00,10.00,10.00,200
MVY,20170524,10.00,10.00,10.00,10.00,400
MVY,20170519,10.00,10.00,10.00,10.00,800
MVY,20170518,10.00,10.00,10.00,10.00,400
MVY,20170508,10.00,10.00,10.00,10.00,500
MVY,20170505,10.00,10.00,10.00,10.00,2800
