<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
IOX,20180516,2.715,2.85,2.7,2.77,335509
IOX,20180515,2.715,2.85,2.7,2.77,335509
IOX,20180514,2.715,2.85,2.7,2.77,335509
IOX,20180511,2.715,2.85,2.7,2.77,335509
IOX,20180509,2.715,2.85,2.7,2.77,335509
IOX,20180508,2.715,2.85,2.7,2.77,335509
IOX,20180507,2.715,2.85,2.7,2.77,335509
IOX,20180504,2.715,2.85,2.7,2.77,335509
IOX,20180503,2.715,2.85,2.7,2.77,335509
IOX,20180502,2.87,2.91,2.75,2.78,256103
IOX,20180430,2.94,2.95,2.8,2.87,177710
IOX,20180427,2.9,3.0,2.86,2.91,153034
IOX,20180426,3.045,3.09,2.88,2.94,239803
IOX,20180425,3.13,3.135,2.8,3.035,1183611
IOX,20180424,3.245,3.36,3.08,3.2,581194
IOX,20180423,3.28,3.4,3.16,3.235,856710
IOX,20180420,3.1,3.38,3.08,3.28,1918544
IOX,20180419,2.8,3.1,2.8,3.055,912629
IOX,20180418,2.69,2.86,2.69,2.86,612247
IOX,20180417,2.7,2.725,2.625,2.7,127724
IOX,20180416,2.75,2.75,2.61,2.66,160782
IOX,20180413,2.55,2.78,2.52,2.78,196252
IOX,20180412,2.53,2.64,2.53,2.56,144654
IOX,20180411,2.62,2.68,2.5,2.56,181435
IOX,20180410,2.615,2.615,2.515,2.6,159406
IOX,20180409,2.55,2.575,2.5,2.56,87439
IOX,20180406,2.555,2.575,2.475,2.55,170884
IOX,20180405,2.44,2.6,2.395,2.53,366184
IOX,20180404,2.57,2.635,2.425,2.44,225141
IOX,20180403,2.6,2.625,2.44,2.57,168243
IOX,20180328,2.595,2.6,2.55,2.6,41583
IOX,20180327,2.545,2.64,2.505,2.55,44835
IOX,20180326,2.5,2.54,2.47,2.47,167463
IOX,20180323,2.61,2.61,2.52,2.54,196930
IOX,20180322,2.65,2.66,2.58,2.625,135319
IOX,20180321,2.625,2.7,2.555,2.67,185631
IOX,20180320,2.6,2.7,2.525,2.62,256975
IOX,20180319,2.62,2.7,2.56,2.66,212745
IOX,20180316,2.62,2.68,2.61,2.61,248997
IOX,20180315,2.635,2.73,2.63,2.69,82407
IOX,20180314,2.655,2.805,2.62,2.73,604045
IOX,20180313,2.73,2.73,2.665,2.7,215484
IOX,20180312,2.76,2.76,2.625,2.72,533367
IOX,20180309,2.775,2.775,2.7,2.725,404130
IOX,20180308,2.86,2.89,2.75,2.845,264537
IOX,20180307,2.945,2.98,2.8,2.89,382077
IOX,20180306,2.795,2.94,2.75,2.88,479284
IOX,20180305,2.67,2.8,2.62,2.71,241966
IOX,20180302,2.77,2.77,2.66,2.685,356607
IOX,20180301,2.75,2.83,2.7,2.78,216687
IOX,20180228,2.71,2.82,2.65,2.8,202455
IOX,20180227,2.58,2.75,2.5,2.75,359591
IOX,20180226,2.61,2.625,2.575,2.62,147909
IOX,20180223,2.64,2.66,2.6,2.63,183678
IOX,20180222,2.64,2.66,2.58,2.64,234785
IOX,20180221,2.55,2.64,2.5,2.63,263308
IOX,20180220,2.58,2.64,2.44,2.52,659449
IOX,20180219,2.69,2.69,2.58,2.605,306767
IOX,20180216,2.885,2.92,2.61,2.69,637806
IOX,20180215,3.07,3.07,2.8,2.885,398189
IOX,20180214,2.98,3.11,2.77,2.92,470770
IOX,20180213,2.98,3.05,2.87,2.905,165604
IOX,20180212,2.65,2.9,2.65,2.84,121191
IOX,20180209,2.56,2.85,2.49,2.77,476751
IOX,20180208,2.75,2.79,2.605,2.615,132076
IOX,20180207,2.8,2.8,2.65,2.69,261050
IOX,20180206,2.52,2.75,2.435,2.7,676729
IOX,20180205,2.985,2.99,2.7,2.81,515157
IOX,20180202,3.15,3.185,2.97,2.995,265491
IOX,20180201,3.23,3.23,3.1,3.105,177946
IOX,20180131,3.1,3.245,3.05,3.19,236903
IOX,20180130,3.38,3.38,3.01,3.08,852114
IOX,20180129,3.485,3.565,3.34,3.38,255002
IOX,20180126,3.37,3.495,3.35,3.485,533008
IOX,20180125,3.44,3.52,3.33,3.38,228067
IOX,20180124,3.49,3.55,3.33,3.42,667678
IOX,20180123,3.47,3.54,3.38,3.49,431795
IOX,20180122,3.485,3.555,3.3,3.47,548150
IOX,20180119,3.4,3.47,3.3,3.44,533070
IOX,20180118,3.6,3.61,3.38,3.4,1691420
IOX,20180117,3.78,3.89,3.405,3.615,1762685
IOX,20180116,3.72,3.95,3.35,3.76,6505469
IOX,20180115,4.09,4.09,3.3,3.355,6800095
IOX,20180112,3.61,4.28,3.61,4.1,6062789
IOX,20180111,3.55,3.64,3.205,3.49,1812520
IOX,20180110,3.6,3.95,3.36,3.48,4137366
IOX,20180109,2.79,3.43,2.71,3.35,4546620
IOX,20180108,2.75,2.81,2.69,2.705,500505
IOX,20180105,2.7,2.775,2.66,2.745,255463
IOX,20180104,2.7,2.845,2.56,2.74,514356
IOX,20180103,2.67,2.87,2.66,2.66,199810
IOX,20180102,2.86,2.97,2.6,2.735,403927
IOX,20171229,3.15,3.15,2.82,2.92,2005172
IOX,20171228,3.01,3.25,2.93,3.12,3965130
IOX,20171227,2.11,2.85,2.09,2.84,2102325
IOX,20171222,2.08,2.15,2.08,2.11,183756
IOX,20171221,2.16,2.17,2.08,2.08,299880
IOX,20171220,2.22,2.28,2.11,2.14,166016
IOX,20171219,2.23,2.35,2.11,2.21,542541
IOX,20171218,2.12,2.34,2.06,2.24,1149707
IOX,20171215,2.09,2.15,2.06,2.12,200695
IOX,20171214,2.08,2.12,2.05,2.12,344111
IOX,20171213,2.09,2.15,2.05,2.07,653659
IOX,20171212,2.18,2.22,2.05,2.12,534150
IOX,20171211,2.14,2.25,2.08,2.15,531363
IOX,20171208,1.95,2.31,1.91,2.18,1306064
IOX,20171207,2.21,2.22,1.95,1.97,2733028
IOX,20171206,2.41,2.41,2.1,2.17,1795723
IOX,20171205,2.45,2.65,2.36,2.48,355947
IOX,20171204,2.67,2.67,2.36,2.45,276701
IOX,20171201,2.43,2.48,2.37,2.48,123912
IOX,20171130,2.4,2.49,2.39,2.44,115972
IOX,20171129,2.46,2.52,2.4,2.4,171907
IOX,20171128,2.62,2.62,2.47,2.52,119251
IOX,20171127,2.5,2.7,2.5,2.53,103483
IOX,20171124,2.56,2.65,2.49,2.5,115411
IOX,20171123,2.54,2.6,2.46,2.5,182382
IOX,20171122,2.41,2.65,2.4,2.6,240421
IOX,20171121,2.41,2.49,2.38,2.38,142012
IOX,20171120,2.41,2.55,2.4,2.42,74778
IOX,20171117,2.38,2.44,2.38,2.42,177357
IOX,20171116,2.55,2.6,2.3,2.44,368164
IOX,20171115,2.6,2.6,2.53,2.55,39706
IOX,20171114,2.65,2.75,2.55,2.57,173208
