<Ticker>,<DTYYYYMMDD>,<Open>,High,<Low>,<Close>,<Volume>
POU.TO,20180518,15.52,15.79,15.21,15.5,498766.0
POU.TO,20180517,15.21,15.6,15.15,15.58,570900.0
POU.TO,20180516,14.8,15.34,14.6,15.11,620800.0
POU.TO,20180515,15.09,15.09,14.56,14.81,674500.0
POU.TO,20180514,14.59,15.19,14.47,15.11,697000.0
POU.TO,20180511,14.07,14.5,13.8,14.48,1033700.0
POU.TO,20180510,14.96,15.02,13.97,14.13,1966200.0
POU.TO,20180509,15.97,16.23,15.15,15.26,1779700.0
POU.TO,20180508,17.280001000000002,17.299999,16.32,16.74,727400.0
POU.TO,20180507,17.450001,17.91,17.219998999999998,17.309998999999998,473300.0
POU.TO,20180504,17.719998999999998,17.799999,16.99,17.27,464600.0
POU.TO,20180503,18.190001000000002,18.33,17.73,17.77,327300.0
POU.TO,20180502,17.92,18.43,17.879998999999998,18.379998999999998,331200.0
POU.TO,20180501,18.200001,18.299999,17.75,17.969998999999998,224800.0
POU.TO,20180430,18.129998999999998,18.540001,17.870001000000002,18.33,324300.0
POU.TO,20180427,18.33,18.690001000000002,18.219998999999998,18.27,127100.0
POU.TO,20180426,18.49,18.559998999999998,18.27,18.51,375400.0
POU.TO,20180425,17.629998999999998,18.450001,17.459999,18.299999,351700.0
POU.TO,20180424,17.59,18.35,17.5,17.73,440000.0
POU.TO,20180423,16.99,17.700001,16.83,17.59,454300.0
POU.TO,20180420,17.190001000000002,17.280001000000002,16.870001000000002,17.17,360400.0
POU.TO,20180419,16.92,17.57,16.82,17.309998999999998,836600.0
POU.TO,20180418,16.25,16.690001000000002,15.99,16.639999,614800.0
POU.TO,20180417,15.2,15.99,15.01,15.88,383000.0
POU.TO,20180416,15.92,16.02,15.36,15.46,444500.0
POU.TO,20180413,16.23,16.360001,15.83,15.98,354600.0
POU.TO,20180412,15.76,16.27,15.54,16.200001,169400.0
POU.TO,20180411,15.95,16.4,15.77,15.8,512600.0
POU.TO,20180410,15.21,15.98,15.02,15.71,461800.0
POU.TO,20180409,15.04,15.23,14.82,14.87,204400.0
POU.TO,20180406,14.42,14.85,14.35,14.72,357300.0
POU.TO,20180405,14.3,14.95,14.29,14.53,519000.0
POU.TO,20180404,14.09,14.35,13.93,14.28,296200.0
POU.TO,20180403,14.48,14.55,14.18,14.39,229400.0
POU.TO,20180402,14.72,14.82,14.24,14.42,182100.0
POU.TO,20180329,14.55,15.09,14.48,14.83,316500.0
POU.TO,20180328,15.36,15.37,14.46,14.5,382600.0
POU.TO,20180327,15.96,16.24,15.27,15.38,224800.0
POU.TO,20180326,16.0,16.030001000000002,15.52,15.89,258200.0
POU.TO,20180323,16.280001000000002,16.559998999999998,15.75,15.85,284300.0
